itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
FED,FER,FER,FERNDALE,Ferndale,FER,,No Code,0.040350000000000004,0.040350000000000004,0.040350000000000004,0.0766,0.0,0.0816,0.0816,0.0816,0.0766,0.0816,0.0816,0.0816,0.0816,0.0004035,0.0004035,0.0004035,0.000766,0,0.000816,0.000816,[0.2],"[1.0, 2.0]",[1.0],[0.5],[0.5],[0.2],
FCM,FEX,FEX,FORT ERIE,Fort Erie,FE,FCM,FCM,0.081,0.081,0.081,0.17350000000000002,0.0,0.1935,0.17350000000000002,0.17350000000000002,0.17350000000000002,0.17350000000000002,0.08449999999999999,0.17350000000000002,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,"[1.0, 2.0]","[0.2, 1.0]",[0.2],"[1.0, 2.0]","[0.2, 1.0]","[0.2, 1.0]","[0.2, 1.0]",,
JGD,FGX,FGX,FAIR GROUNDS,Fair Grounds,FG,JDG,JDG,0.0365,0.0365,0.0365,0.07150000000000001,0.0,0.1165,0.1165,0.1165,0.07150000000000001,0.1165,0.1165,0.1165,0.0,[1.0],[1.0],[1.0],[1.0],,[0.5],[0.1],[0.5],[1.0],[0.5],[0.5],[0.5],,
,FLG,FLG,FLAGSTAFF,,FLG,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIM,FLX,FLX,FINGER LAKES,Finger Lakes,FL,FIM,FIM,0.07150000000000001,0.07150000000000001,0.07150000000000001,0.09150000000000001,0.0,0.14150000000000001,0.14150000000000001,0.14150000000000001,0.09150000000000001,0.14150000000000001,0.14150000000000001,0.14150000000000001,0.0,[1.0],[1.0],[1.0],"[1.0, 2.0]",,"[1.0, 2.0]",[0.1],,"[1.0, 2.0]",[0.5],[0.5],[0.5],,
FMN,FMT,FMT,FAIR MEADOWS,,FMT,FMN,No Code,0.10650000000000001,0.10650000000000001,0.10650000000000001,0.1365,0.1365,0.16649999999999998,0.16649999999999998,0.16649999999999998,0.1365,0.16649999999999998,0.16649999999999998,0.0,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,"[1.0, 2.0]",[0.5],[0.5],,,
,FNO,FNO,FRESNO,Fresno,FNO,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FON,FON,FONNER PARK,Fonner Park,FON,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN,FPK,FPK,FAIRMOUNT PARK,Fairmount Park,FP,FAN,FAN,0.0765,0.0765,0.0765,0.1115,0.0,0.1565,0.1565,0.1565,0.1115,0.1565,0.1565,0.0,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",,"[0.5, 1.0]",[0.1],,[1.0],[0.5],[0.5],,,
,FPL,FPL,FAIR PLAY PARK,,FPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
