field_index,field_name,target_type,notes
180,wk_main_indicator_7,type_wk_main_indicator,
181,wk_main_indicator_8,type_wk_main_indicator,
182,wk_main_indicator_9,type_wk_main_indicator,
183,wk_main_indicator_10,type_wk_main_indicator,
184,wk_main_indicator_11,type_wk_main_indicator,
185,wk_main_indicator_12,type_wk_main_indicator,
186,wk_numAtDistance_1,int,
187,wk_numAtDistance_2,int,
188,wk_numAtDistance_3,int,
189,wk_numAtDistance_4,int,
190,wk_numAtDistance_5,int,
191,wk_numAtDistance_6,int,
192,wk_numAtDistance_7,int,
193,wk_numAtDistance_8,int,
194,wk_numAtDistance_9,int,
195,wk_numAtDistance_10,int,
196,wk_numAtDistance_11,int,
197,wk_numAtDistance_12,int,
198,wk_rank_1,int,
199,wk_rank_2,int,
200,wk_rank_3,int,
201,wk_rank_4,int,
202,wk_rank_5,int,
203,wk_rank_6,int,
204,wk_rank_7,int,
205,wk_rank_8,int,
206,wk_rank_9,int,
207,wk_rank_10,int,
208,wk_rank_11,int,
209,wk_rank_12,int,
210,runner_HDW_runstyle,type_HDW_runstyle,
211,runner_speed_speedPoints,float,
212,runner_unique_hdw_runstyle,str,flag
213,runner_unique_alternate_speed,float,
214,race_pace_HDW_par_2f_level,float,
215,race_pace_HDW_par_4f_level,float,
216,race_pace_HDW_par_6f_level,float,
217,race_speed_HDW_par_class_level,float,
218,race_pace_HDW_par_late_level,float,
219,race_reserved_219,str,flag
220,race_reserved_220,str,flag
221,race_reserved_221,str,flag
222,race_reserved_222,str,flag
223,race_reserved_223,str,flag
224,days_since_last_race,datetime.time_interval,unit = days
225,race_race_conditions_1,str,
226,race_race_conditions_2,str,
227,race_race_conditions_3,str,
228,race_race_conditions_4,str,
229,race_race_conditions_5,str,
230,race_race_conditions_6,str,
231,runner_lifetime_starts_allweather,float,
232,runner_lifetime_wins_allweather,float,
233,runner_lifetime_place_allweather,float,
234,runner_lifetime_show_allweather,float,
235,runner_lifetime_earnings_allweather,float,
236,runner_speed_HDW_best_allweather,float,
237,race_reserved_237,str,flag
238,race_claiming_price_low,float,unit = USD
239,race_statebred_flag,bool,
240,race_wagertype_1,str,
241,race_wagertype_2,str,
242,race_wagertype_3,str,
243,race_wagertype_4,str,
244,race_wagertype_5,str,
245,race_wagertype_6,str,
246,race_wagertype_7,str,
247,race_wagertype_8,str,
248,race_wagertype_9,str,
249,race_reserved_249,str,flag
250,race_reserved_250,str,flag
251,runner_HDWPSRRating,float,
252,race_reserved_252,str,flag
253,race_reserved_253,str,flag
254,race_reserved_254,str,flag
255,race_reserved_255,str,flag
256,pp_date_0,datetime.date,
257,pp_date_1,datetime.date,
258,pp_date_2,datetime.date,
259,pp_date_3,datetime.date,
260,pp_date_4,datetime.date,
261,pp_date_5,datetime.date,
262,pp_date_6,datetime.date,
263,pp_date_7,datetime.date,
264,pp_date_8,datetime.date,
265,pp_date_9,datetime.date,
266,pp_numdays_0,datetime.time_interval,unit = days
267,pp_numdays_1,datetime.time_interval,unit = days
268,pp_numdays_2,datetime.time_interval,unit = days
269,pp_numdays_3,datetime.time_interval,unit = days
270,pp_numdays_4,datetime.time_interval,unit = days
271,pp_numdays_5,datetime.time_interval,unit = days
272,pp_numdays_6,datetime.time_interval,unit = days
273,pp_numdays_7,datetime.time_interval,unit = days
274,pp_numdays_8,datetime.time_interval,unit = days
275,pp_numdays_9,datetime.time_interval,unit = days
276,pp_track_0,x8_track_sym,
277,pp_track_1,x8_track_sym,
278,pp_track_2,x8_track_sym,
279,pp_track_3,x8_track_sym,
280,pp_track_4,x8_track_sym,
281,pp_track_5,x8_track_sym,
282,pp_track_6,x8_track_sym,
283,pp_track_7,x8_track_sym,
284,pp_track_8,x8_track_sym,
285,pp_track_9,x8_track_sym,
286,pp_track_code_0,x8_track_sym,
287,pp_track_code_1,x8_track_sym,
288,pp_track_code_2,x8_track_sym,
289,pp_track_code_3,x8_track_sym,
290,pp_track_code_4,x8_track_sym,
291,pp_track_code_5,x8_track_sym,
292,pp_track_code_6,x8_track_sym,
293,pp_track_code_7,x8_track_sym,
294,pp_track_code_8,x8_track_sym,
295,pp_track_code_9,x8_track_sym,
296,pp_racenum_0,int,
297,pp_racenum_1,int,
298,pp_racenum_2,int,
299,pp_racenum_3,int,
300,pp_racenum_4,int,
301,pp_racenum_5,int,
302,pp_racenum_6,int,
303,pp_racenum_7,int,
304,pp_racenum_8,int,
305,pp_racenum_9,int,
306,pp_tkcond_0,type_pp_tkcond,
307,pp_tkcond_1,type_pp_tkcond,
308,pp_tkcond_2,type_pp_tkcond,
309,pp_tkcond_3,type_pp_tkcond,
310,pp_tkcond_4,type_pp_tkcond,
311,pp_tkcond_5,type_pp_tkcond,
312,pp_tkcond_6,type_pp_tkcond,
313,pp_tkcond_7,type_pp_tkcond,
314,pp_tkcond_8,type_pp_tkcond,
315,pp_tkcond_9,type_pp_tkcond,
316,pp_dist_0,float,unit = yards
317,pp_dist_1,float,unit = yards
318,pp_dist_2,float,unit = yards
319,pp_dist_3,float,unit = yards
320,pp_dist_4,float,unit = yards
321,pp_dist_5,float,unit = yards
322,pp_dist_6,float,unit = yards
323,pp_dist_7,float,unit = yards
324,pp_dist_8,float,unit = yards
325,pp_dist_9,float,unit = yards
